Bin,Date,week,Watered,L...or...D,TempStart,TempEnd,SurfacetempEnd,Reco,CH4.flux,Date.1,Time..to.seconds..1,L...or...D.1,PAR.1,TempStart.1,TempEnd.1,SurfacetempEnd.1,NEE,CH4.flux.1,GPP,sphagnum,watertable,rainfall,height,dheight,dvolume,GPP2,Reco2,NEE2,CH4.fluxlight,CH4.fluxave,depth,bin,NDVI,FWBI980,WI,CI,REI
4,8/6/2020,5,U,D,33.7,32.2,27.9,3.0868,0.326,8/6/2020,13:35:25,L,1775,26.6,24.6,38.9,-0.0913,0.0448,3.1781,hummock,low,average,-5.1,-3.9,0.812840124,2.583287198,2.509074894,-0.074212303,0.26498588,0.26498588,21.1,4,0.689179265,1.069384329,0.989226332,0.728235501,0.451759296
5,8/6/2020,5,U,D,31.6,33.1,28,2.4901,0.797,8/6/2020,13:32:19,L,1880,27.7,26.6,35,-1.545,0.0848,4.0351,hollow,high,drought,-3.625,-0.575,0.859356736,3.467590366,2.139884209,-1.327706157,0.684907319,0.684907319,4.425,5,0.842205556,1.439529643,1.35866964,0.701187935,0.742564109
6,8/6/2020,5,U,D,27,27.9,26,2.0256,0.0013,8/6/2020,10:09:09,L,1024,28.2,28.7,NA,-0.6322,0.001,2.6578,hummock,low,average,-1.8,-1.425,0.924841636,2.4580441,1.873359218,-0.584684882,0.001202294,0.001202294,23.575,6,0.659930053,1.115357281,1.037211245,0.65547247,0.43391832
8,8/6/2020,5,U,D,27.1,31.1,28,2.9578,0.0065,8/6/2020,13:29:20,L,1708,33,28,34.1,2.5804,0.0039,0.3774,hollow,low,average,-7.275,-4.75,0.752756471,0.284090292,2.226503089,1.942412797,0.004892917,0.004892917,20.25,8,0.232746476,0.991109821,0.913132625,0.295856174,0.091786521
9,8/6/2020,5,U,D,29.3,29.1,26.4,3.26,1.0773,8/6/2020,12:22:57,L,1650,30.2,29.3,39.4,-0.4838,0.5483,3.7438,hollow,high,average,-2.05,-0.175,0.915287262,3.426652451,2.983836474,-0.442815977,0.986038967,0.986038967,4.825,9,0.570565053,1.22979079,1.12819197,0.498762281,0.416023857
10,8/6/2020,5,U,D,29.9,29.1,31.8,3.1739,0.0039,8/6/2020,12:10:33,L,1520,28.3,28.6,25.3,-0.5516,5.00E-04,3.7254,hummock,low,drought,-5.7,-3.825,0.79532795,2.962914744,2.52429138,-0.438702897,0.003101779,0.003101779,21.175,10,0.572088374,1.092752042,1.006260454,0.569760031,0.350323518
11,8/6/2020,5,U,D,28.1,29.6,23.7,2.1578,0.0073,8/6/2020,11:17:32,L,1395,27.9,27.7,23.9,1.8063,0.0015,0.3516,hollow,low,drought,-6.625,-2.775,0.769760863,0.270647919,1.66098999,1.390419047,0.005619254,0.005619254,22.225,11,0.243171865,0.988700983,0.915117581,0.291359034,0.112999461
12,8/6/2020,5,U,D,29.6,30.2,24.1,1.9837,0.0239,8/6/2020,11:55:06,L,1480,28.1,28.1,24.1,-0.5,0.0244,2.4836,hummock,high,drought,-4.65,-2.025,0.826488849,2.052667705,1.63950593,-0.413244424,0.019753083,0.019753083,2.975,12,0.563205342,1.156925323,1.045367618,0.604262017,0.286566703
13,8/6/2020,5,U,D,38.1,36.3,34,2.9674,2.25,8/6/2020,13:54:08,L,1885,32.2,31.9,38,-1.016,0.487,3.9835,hollow,high,average,-4.175,-0.425,0.841402076,3.351725169,2.49677652,-0.854864509,1.893154671,1.893154671,4.575,13,0.887497794,1.488208872,1.467186524,0.88602389,0.794690136
15,8/6/2020,5,U,D,29.6,29.9,23.8,4.13,0.294,8/6/2020,15:13:32,L,2098,33.6,33.8,40.9,0.229,0.464,3.901,hummock,high,average,-4.875,-1.875,0.819607668,3.197289513,3.384979669,0.187690156,0.240964654,0.240964654,3.125,15,0.703973351,1.196030366,1.082722881,0.661524975,0.520985512
16,8/6/2020,5,U,D,29.3,29.1,24.1,2.1772,0.0419,8/6/2020,11:21:01,L,1484,28.2,29.2,23.7,-1.5837,0.0394,3.7609,hummock,high,average,-3.325,-1.775,0.869476963,3.270015912,1.893025245,-1.376990667,0.036431085,0.036431085,3.225,16,0.862979053,1.501275886,1.43929755,0.785438528,0.753063189
19,8/6/2020,5,U,D,35.7,37.1,39.4,3.68,-2.00E-04,8/6/2020,14:10:18,L,1980,31.1,39.3,43.3,1.3579,0.0076,2.3221,hummock,low,drought,-7.975,-4.775,0.735264703,1.707358167,2.705774108,0.99841594,-0.000147053,-0.000147053,20.225,19,0.346038313,0.991852148,0.924259588,0.371270147,0.182742188
23,8/6/2020,5,U,D,29.9,28.3,26.7,2.5062,0.0384,8/6/2020,12:16:45,L,1498,29.3,29.3,33.3,-0.4838,0.0174,2.99,hummock,high,drought,-5.45,-1.85,0.802532156,2.399571146,2.011306089,-0.388265057,0.030817235,0.030817235,3.15,23,0.783997149,1.310670346,1.218085299,0.813627659,0.590705832
25,8/6/2020,5,U,D,28.6,28.1,24.7,1.6837,0.0842,8/6/2020,11:49:08,L,1502,28.8,30.4,24.7,1.6869,6.00E-04,-0.0032,hollow,low,drought,-8.625,-7.5,0.719734861,-0.002303152,1.211817585,1.214120736,0.060601675,0.060601675,17.5,25,0.238160166,0.998115728,0.913695965,0.300019707,0.097571927
27,8/6/2020,5,U,D,26.1,28.2,23.2,1.7579,0.0064,8/6/2020,10:37:15,L,1147,27.9,28.7,23.7,-1.0257,0.0064,2.7836,hollow,high,drought,-4.225,-0.975,0.839806966,2.337686672,1.476296666,-0.861390005,0.005374765,0.005374765,4.025,27,0.804955105,1.398711112,1.327106802,0.729269455,0.714642161
28,8/6/2020,5,U,D,27.2,27.4,31.4,1.5482,-1.00E-04,8/6/2020,15:05:33,L,390,33.5,32.6,32.8,1.2773,-0.002,0.2709,hummock,low,drought,-3,-1.025,0.880713004,0.238585153,1.363519872,1.12493472,-8.81E-05,-8.81E-05,23.975,28,0.487383803,0.957669751,0.853342159,0.520255913,0.216100314
30,8/6/2020,5,U,D,35.4,35.6,30.4,2.9739,0.939,8/6/2020,14:06:06,L,1547,32.8,42.4,36.1,-0.8064,0.301,3.7803,hummock,high,average,0.1,-1.05,1.004535265,3.797444661,2.987387423,-0.810057237,0.943258613,0.943258613,3.95,30,0.757227291,1.270473187,1.193292574,0.752124556,0.546336932
31,8/6/2020,5,U,D,28.1,29.6,24.4,3.35,0.0461,8/6/2020,11:52:06,L,1432,29.6,27.8,24.2,-2.303,0.0312,5.653,hummock,high,drought,0.725,-0.375,1.033839873,5.844296802,3.463363574,-2.380933227,0.047660018,0.047660018,4.625,31,0.748250686,1.173091242,1.055277246,0.823580325,0.499510628
32,8/6/2020,5,U,D,28.8,28.3,24,2.4739,0.0094,8/6/2020,11:27:22,L,1439,30.2,30.2,23.1,1.2837,0.002,1.1902,hollow,low,drought,-6.5,-4.825,0.773119398,0.920166707,1.912620078,0.992453371,0.007267322,0.007267322,20.175,32,0.239623547,0.990040849,0.919407395,0.312528871,0.102953832
34,8/6/2020,5,U,D,34.2,34.6,34,4.1,0.0026,8/6/2020,14:01:25,L,1777,31.1,34.2,42.8,1.9192,0.0026,2.1808,hollow,low,drought,-3.8,-3.075,0.853561332,1.861446554,3.499601463,1.638154909,0.002219259,0.002219259,21.925,34,0.448611283,0.989336526,0.940512918,0.468796258,0.26525129
35,8/6/2020,5,U,D,28.2,29.2,23.4,2.8029,9.00E-04,8/6/2020,10:40:56,L,927,28.7,28.7,23.6,-0.8902,8.00E-04,3.6932,hummock,low,average,0.1,-0.675,1.004535265,3.709949639,2.815611893,-0.894237293,0.000904082,0.000904082,24.325,35,0.659182571,1.174293945,1.090489008,0.649317409,0.432875553
37,8/6/2020,5,U,D,34.2,35.7,35.8,5.58,0.112,8/6/2020,14:42:35,L,1892,32.1,36.5,37,-1.1321,0.987,6.7121,hollow,high,drought,0.375,-0.025,1.017222035,6.827696021,5.676098955,-1.151597066,0.113928868,0.113928868,4.975,37,0.849821519,1.437430626,1.398008344,0.737077715,0.751719095
38,8/6/2020,5,U,D,29.6,33.7,32.8,3.52,0.0523,8/6/2020,14:36:19,L,1862,35.7,33.3,27.5,-1.2321,0.0513,4.7521,hollow,high,drought,-0.225,-0.2,0.989943878,4.704312303,3.484602451,-1.219709852,0.051774065,0.051774065,4.8,38,0.677300066,1.35155093,1.287543422,0.563555769,0.546278433
39,8/6/2020,5,U,D,27.7,27.9,22.6,2.0288,0.008,8/6/2020,10:33:52,L,1121,26.3,27.9,24.1,1.5257,0.0104,0.5032,hollow,low,average,-5.75,-3.825,0.793902602,0.399491789,1.610669598,1.211257199,0.006351221,0.006351221,21.175,39,0.372937119,0.96816782,0.902748293,0.410698139,0.187381791
40,8/6/2020,5,U,D,33.1,33.5,31.5,3.48,0.0822,8/6/2020,13:57:46,L,1857,32.8,31.9,38.8,-2.5739,0.0018,6.0539,hummock,low,average,-2.575,-2,0.895851999,5.423398415,3.117564955,-2.305833459,0.073639034,0.073639034,23,40,0.777390339,1.095490285,1.013250389,0.80912933,0.545065774
41,8/6/2020,5,U,D,27,28.2,22.2,1.0031,0.0083,8/6/2020,10:47:47,L,1216,28.4,28.2,21.7,-1.3483,0.0128,2.3514,hollow,low,average,-4.6,-2.9,0.828033721,1.947038491,0.830600625,-1.116437866,0.00687268,0.00687268,22.1,41,0.799795755,1.502495295,1.421759216,0.644213553,0.70391608
42,8/6/2020,5,U,D,24.2,25.7,33.2,2.3836,0.0099,8/6/2020,13:25:40,L,1608,27.3,31.1,38.8,1.1579,0.012,1.2257,hollow,low,average,-4.175,-3.5,0.841402076,1.031306524,2.005565988,0.974259464,0.008329881,0.008329881,21.5,42,0.49513027,1.004310264,0.924887968,0.453343824,0.328733425
43,8/6/2020,5,U,D,35.8,30.1,33.2,3.45,0.0178,8/6/2020,14:33:02,L,1898,37.1,36.3,31.3,-3.1287,0.0112,6.5787,hummock,high,drought,0.25,-2.15,1.011415822,6.653801269,3.489384586,-3.164416683,0.018003202,0.018003202,2.85,43,0.67683661,1.205233649,1.128948106,0.726307629,0.425581754
44,8/6/2020,5,U,D,29.3,29.6,27.8,2.8223,1.1063,8/6/2020,12:13:17,L,1499,28.6,29.6,25.2,-0.238,0.8999,3.0603,hollow,high,average,-6.525,-2.55,0.772445348,2.3639145,2.180072507,-0.183841993,0.854556289,0.854556289,2.45,44,0.882397124,1.519522082,1.429704178,0.831079879,0.791336067
46,8/6/2020,5,U,D,27.2,29.3,24,1.6837,0.455,8/6/2020,11:24:31,L,1455,28.6,29.9,23.6,-1.3483,0.0355,3.032,hollow,high,average,-3,-0.35,0.880713004,2.670321827,1.482856484,-1.187465343,0.400724417,0.400724417,4.65,46,0.769942953,1.43164882,1.366867282,0.628015568,0.645576955
47,8/6/2020,5,U,D,26.7,26.7,26.9,1.2999,0.0162,8/6/2020,10:15:47,L,944,28.2,28.4,21.4,-1.5773,0.115,2.8771,hummock,high,average,-1.875,-0.075,0.921954445,2.652555133,1.198448583,-1.454198746,0.014935662,0.014935662,4.925,47,0.86489216,1.403654543,1.340509336,0.825946115,0.73665981
50,8/6/2020,5,U,D,28.9,27.7,22.7,1.6095,5.00E-04,8/6/2020,10:44:21,L,1017,29.2,29.2,22.6,-0.5258,-1.00E-04,2.1353,hummock,low,drought,-1.8,-2.375,0.924841636,1.974814345,1.488532613,-0.486281732,0.000462421,0.000462421,22.625,50,0.714509987,1.133879354,1.04653518,0.752387344,0.47026549
4,8/7/2020,5,W,D,31.5,31.6,33.1,3.05,0.0743,8/7/2020,11:58:08,L,1664,32.1,31.6,35.5,-0.389,0.0468,3.439,hummock,low,average,-5.1,-3.9,0.812840124,2.795357186,2.479162378,-0.316194808,0.060394021,0.060394021,21.1,4,0.655959215,1.073166531,0.972006738,0.673149788,0.414178719
5,8/7/2020,5,W,D,31.8,32.3,32,3,0.105,8/7/2020,12:01:59,L,1849,31.3,32.3,38.2,-1.04,0.0907,4.04,hollow,high,drought,-3.625,-0.575,0.859356736,3.471801214,2.578070209,-0.893731006,0.090232457,0.090232457,4.425,5,0.848085154,1.453037409,1.378767161,0.692197836,0.755034197
6,8/7/2020,5,W,D,31,32.6,29.1,2.16,0.0548,8/7/2020,14:36:25,L,309,30.7,31.2,26.9,0.214,0.0099,1.946,hummock,low,average,-1.8,-1.425,0.924841636,1.799741824,1.997657934,0.19791611,0.050681322,0.050681322,23.575,6,0.744369275,1.193475118,1.09497747,0.739259818,0.53144613
8,8/7/2020,5,W,D,31.3,32.2,32.6,3.67,0.0141,8/7/2020,12:05:03,L,1524,33,31.8,41.4,3.94,0.002,-0.27,hollow,low,average,-7.275,-4.75,0.752756471,-0.203244247,2.762616247,2.965860494,0.010613866,0.010613866,20.25,8,0.291844297,1.092111911,1.02799404,0.328987602,0.125088591
9,8/7/2020,5,W,D,31.1,31.1,38.2,2.6642,0.27,8/7/2020,11:30:11,L,1210,30.4,29.2,34.7,-1.6353,0.123,4.2996,hollow,high,average,-2.05,-0.175,0.915287262,3.935369112,2.438508323,-1.49676926,0.247127561,0.247127561,4.825,9,0.643942663,1.291516696,1.168531352,0.545828669,0.497336444
10,8/7/2020,5,W,D,33,32.1,38,2.52,-0.0014,8/7/2020,11:39:23,L,1686,31.3,30.6,40.4,0.4548,-0.0033,2.0652,hummock,low,drought,-5.7,-3.825,0.79532795,1.642511282,2.004226433,0.361715152,-0.001113459,-0.001113459,21.175,10,0.520905303,1.043885738,0.951188201,0.535555863,0.280955986
11,8/7/2020,5,W,D,31.5,32.1,31.8,2.41,0.001,8/7/2020,15:31:55,L,1345,31.1,32.1,29.7,1.79,0.001,0.62,hollow,low,drought,-6.625,-2.775,0.769760863,0.477251735,1.85512368,1.377871945,0.000769761,0.000769761,22.225,11,0.210453646,0.985929363,0.941881903,0.263306348,0.086553271
12,8/7/2020,5,W,D,35.6,35.6,29.6,1.88,0.0264,8/7/2020,16:01:22,L,460,34.2,33,34.2,0.64,0.0192,1.24,hummock,high,drought,-4.65,-2.025,0.826488849,1.024846173,1.553799036,0.528952863,0.021819306,0.021819306,2.975,12,0.64663019,1.166668076,1.059478699,0.666896676,0.374990828
13,8/7/2020,5,W,D,33.6,32.1,30.5,5.6,8.82,8/7/2020,13:44:55,L,1981,35.8,35.8,41.5,-1.51,0.196,7.11,hollow,high,average,-4.175,-0.425,0.841402076,5.98236876,4.711851625,-1.270517135,7.421166309,7.421166309,4.575,13,0.879918438,1.579027263,1.542757145,0.856750918,0.785423195
15,8/7/2020,5,W,D,31.6,35,34.3,3.44,0.217,8/7/2020,15:34:19,L,589,30.2,29.1,30.9,0.0853,0.131,3.3547,hummock,high,average,-4.875,-1.875,0.819607668,2.749537844,2.819450378,0.069912534,0.177854864,0.177854864,3.125,15,0.684679774,1.230861169,1.102505561,0.634642503,0.503308958
16,8/7/2020,5,W,D,29.5,31.7,30.6,2.21,0.0463,8/7/2020,15:28:39,L,1648,32.7,31.6,37,-1.12,0.0343,3.33,hummock,high,average,-3.325,-1.775,0.869476963,2.895358288,1.921544089,-0.973814199,0.040256783,0.040256783,3.225,16,0.86367942,1.546702275,1.49017391,0.778864954,0.753098748
19,8/7/2020,5,W,D,36.1,37.8,35.4,2.77,-0.0022,8/7/2020,13:24:35,L,1956,31.3,33.6,31.2,0.235,-0.003,2.535,hummock,low,drought,-7.975,-4.775,0.735264703,1.863896022,2.036683228,0.172787205,-0.001617582,-0.001617582,20.225,19,0.408643876,1.056233068,0.988996977,0.406695577,0.225132116
23,8/7/2020,5,W,D,31.3,31.3,38.2,1.7514,0.0231,8/7/2020,11:33:00,L,1398,29.1,30.6,31.7,-0.3806,0.0158,2.132,hummock,high,drought,-5.45,-1.85,0.802532156,1.710998556,1.405554818,-0.305443739,0.018538493,0.018538493,3.15,23,0.851188521,1.388800427,1.267590205,0.838367425,0.704401447
25,8/7/2020,5,W,D,33.9,33,34.5,2.58,0.0323,8/7/2020,15:54:30,L,1750,35.8,37.2,38.2,1.99,0.0035,0.59,hollow,low,drought,-8.625,-7.5,0.719734861,0.424643568,1.85691594,1.432272373,0.023247436,0.023247436,17.5,25,0.233991019,0.992619806,0.934367814,0.291943785,0.09204584
27,8/7/2020,5,W,D,34.9,38.3,28.7,3.65,0.0083,8/7/2020,15:02:25,L,1425,36.7,37.3,29.3,0.191,0.0159,3.459,hollow,high,drought,-4.225,-0.975,0.839806966,2.904892297,3.065295427,0.160403131,0.006970398,0.006970398,4.025,27,0.836813231,1.478054589,1.385263175,0.798139019,0.751778189
28,8/7/2020,5,W,D,34,31.5,29.1,1.92,-7.00E-04,8/7/2020,14:33:29,L,837,32.4,30.9,32.7,1.05,-2.00E-04,0.87,hummock,low,drought,-3,-1.025,0.880713004,0.766220313,1.690968967,0.924748654,-0.000616499,-0.000616499,23.975,28,0.594682772,1.013239682,0.884308986,0.639656556,0.297817489
30,8/7/2020,5,W,D,37.2,37.8,31.9,0.596,0.0437,8/7/2020,13:28:34,L,1936,33.6,33.6,37.5,-1.03,0.0355,1.626,hummock,high,average,0.1,-1.05,1.004535265,1.63337434,0.598703018,-1.034671323,0.043898191,0.043898191,3.95,30,0.782394963,1.330010819,1.250760805,0.745184954,0.60092609
31,8/7/2020,5,W,D,35.1,35.8,31.5,2.44,0.821,8/7/2020,15:58:12,L,1645,37.2,34.8,38.8,-1.7,0.0828,4.14,hummock,high,drought,0.725,-0.375,1.033839873,4.280097074,2.52256929,-1.757527784,0.848782536,0.848782536,4.625,31,0.746582467,1.193015029,1.076193316,0.808791603,0.501233191
32,8/7/2020,5,W,D,30.5,30,32.3,2.99,9.00E-04,8/7/2020,15:21:08,L,1838,34.6,34,38.3,1.34,-1.00E-04,1.65,hollow,low,drought,-6.5,-4.825,0.773119398,1.275647006,2.311627,1.035979993,0.000695807,0.000695807,20.175,32,0.245839217,1.058932893,1.0121324,0.304748995,0.109095454
34,8/7/2020,5,W,D,38.2,38.8,38.6,2.28,0.0012,8/7/2020,13:31:36,L,1851,33.6,33.6,38.8,1.75,0.0053,0.53,hollow,low,drought,-3.8,-3.075,0.853561332,0.452387506,1.946119838,1.493732332,0.001024274,0.001024274,21.925,34,0.48325641,1.064616739,1.013575908,0.456039424,0.307318433
35,8/7/2020,5,W,D,34.3,36.1,28.7,3.44,0.0127,8/7/2020,14:59:27,L,1569,36.8,36.7,31,0.0996,0.0012,3.3404,hummock,low,average,0.1,-0.675,1.004535265,3.355549598,3.45560131,0.100051712,0.012757598,0.012757598,24.325,35,0.709540402,1.229438669,1.146819583,0.691019806,0.493711201
37,8/7/2020,5,W,D,29.2,28.7,28.7,5.19,0.461,8/7/2020,14:04:55,L,2283,32.1,31.3,36.3,-1.6,3.44,6.79,hollow,high,drought,0.375,-0.025,1.017222035,6.906937617,5.279382361,-1.627555256,0.468939358,0.468939358,4.975,37,0.866480615,1.519400309,1.477687685,0.729685774,0.780340877
38,8/7/2020,5,W,D,29.2,29.9,37.9,2.63,0.212,8/7/2020,14:08:33,L,2096,30.8,31.1,30.6,-1.46,0.0404,4.09,hollow,high,drought,-0.225,-0.2,0.989943878,4.048870461,2.603552399,-1.445318062,0.209868102,0.209868102,4.8,38,0.846405196,1.472979689,1.426736546,0.710393762,0.757870857
39,8/7/2020,5,W,D,31.5,29.1,26.6,3.42,8.00E-04,8/7/2020,14:27:19,L,1780,31.4,34.5,34,2.28,-8.00E-04,1.14,hollow,low,average,-5.75,-3.825,0.793902602,0.905048966,2.715146898,1.810097932,0.000635122,0.000635122,21.175,39,0.427881622,1.106593337,1.047888714,0.419191555,0.260016316
40,8/7/2020,5,W,D,38.5,35.3,33.7,2.71,-1.00E-04,8/7/2020,13:35:31,L,1589,32.7,34.4,41.3,-2.1,-5.00E-04,4.81,hummock,low,average,-2.575,-2,0.895851999,4.309048114,2.427758916,-1.881289197,-8.96E-05,-8.96E-05,23,40,0.800950087,1.133635638,1.028985888,0.835529416,0.582725853
41,8/7/2020,5,W,D,38,34.9,28.9,3.58,0.594,8/7/2020,14:53:11,L,1174,34.8,34.5,35.3,2.16,1.41,1.42,hollow,low,average,-4.6,-2.9,0.828033721,1.175807884,2.964360721,1.788552837,0.49185203,0.49185203,22.1,41,0.712457603,1.582294172,1.51381025,0.55343085,0.607595497
42,8/7/2020,5,W,D,32.2,32.8,35.4,3.03,0.0084,8/7/2020,12:09:08,L,1776,33.2,31.5,41,2.04,0.0119,0.99,hollow,low,average,-4.175,-3.5,0.841402076,0.832988055,2.54944829,1.716460235,0.007067777,0.007067777,21.5,42,0.544711815,1.058065974,1.003458062,0.437317384,0.388867697
43,8/7/2020,5,W,D,30.3,28.6,35.4,3.21,0.0112,8/7/2020,14:13:32,L,1480,30.6,29.9,30.7,0.166,0.0108,3.044,hummock,high,drought,0.25,-2.15,1.011415822,3.078749762,3.246644789,0.167895026,0.011327857,0.011327857,2.85,43,0.733862027,1.311738283,1.200267572,0.756818762,0.506065171
44,8/7/2020,5,W,D,31.8,32.3,37.7,1.6837,0.0968,8/7/2020,11:35:47,L,1315,30.6,30.8,37.8,-0.8096,0.12,2.4933,hollow,high,average,-6.525,-2.55,0.772445348,1.925937987,1.300566233,-0.625371754,0.07477271,0.07477271,2.45,44,0.860777044,1.582985969,1.536355759,0.738425504,0.776297278
46,8/7/2020,5,W,D,30.5,29.7,30.3,2.04,0.681,8/7/2020,15:24:30,L,1672,34.6,34,41,-1.25,0.0349,3.29,hollow,high,average,-3,-0.35,0.880713004,2.897545782,1.796654528,-1.100891255,0.599765556,0.599765556,4.65,46,0.818675685,1.497286832,1.439408746,0.628002827,0.720151626
47,8/7/2020,5,W,D,29.1,34.3,28.9,1.91,0.0641,8/7/2020,14:30:18,L,2096,34.5,32.4,34.8,-2.67,0.0384,4.58,hummock,high,average,-1.875,-0.075,0.921954445,4.222551358,1.76093299,-2.461618368,0.05909728,0.05909728,4.925,47,0.871329261,1.494672887,1.411993115,0.836038054,0.74575098
50,8/7/2020,5,W,D,33.3,32.1,27.9,4.1,-0.0064,8/7/2020,14:56:04,L,1563,35.7,35.6,33.8,-1.73,-1.00E-04,5.83,hummock,low,drought,-1.8,-2.375,0.924841636,5.391826738,3.791850708,-1.59997603,-0.005918986,-0.005918986,22.625,50,0.800129266,1.218321972,1.127856593,0.835401476,0.59694546
